# ----------------------------------------
# All Web Site Data
# Searches by Player and Date
# 20191020-20191026
# ----------------------------------------

Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
44113,20191021,2,2,"88,226","44,113.00"
44113,20191024,2,2,"88,226","44,113.00"
44051,20191026,2,1,"88,102","44,051.00"
43921,20191024,2,1,"87,842","43,921.00"
43917,20191026,2,1,"87,834","43,917.00"
43909,20191021,2,2,"87,818","43,909.00"
43895,20191021,2,1,"87,790","43,895.00"
43860,20191025,2,2,"87,720","43,860.00"
87709,20191022,1,1,"87,709","87,709.00"
43838,20191023,2,1,"87,676","43,838.00"
43830,20191021,2,2,"87,660","43,830.00"
43820,20191025,2,2,"87,640","43,820.00"
43820,20191026,2,2,"87,640","43,820.00"
29210,20191024,3,3,"87,630","29,210.00"
43782,20191022,2,2,"87,564","43,782.00"
43782,20191024,2,2,"87,564","43,782.00"
43758,20191024,2,2,"87,516","43,758.00"
43751,20191025,2,2,"87,502","43,751.00"
43735,20191024,2,1,"87,470","43,735.00"
43728,20191022,2,1,"87,456","43,728.00"
43727,20191024,2,1,"87,454","43,727.00"
43722,20191026,2,1,"87,444","43,722.00"
43713,20191024,2,2,"87,426","43,713.00"
43703,20191022,2,2,"87,406","43,703.00"
43693,20191025,2,1,"87,386","43,693.00"
43687,20191026,2,2,"87,374","43,687.00"
43677,20191026,2,2,"87,354","43,677.00"
43676,20191020,2,1,"87,352","43,676.00"
43674,20191025,2,2,"87,348","43,674.00"
43659,20191021,2,2,"87,318","43,659.00"
43659,20191024,2,2,"87,318","43,659.00"
43658,20191025,2,1,"87,316","43,658.00"
43657,20191020,2,2,"87,314","43,657.00"
43657,20191024,2,1,"87,314","43,657.00"
43657,20191025,2,1,"87,314","43,657.00"
43655,20191024,2,2,"87,310","43,655.00"
43651,20191025,2,1,"87,302","43,651.00"
43638,20191022,2,1,"87,276","43,638.00"
43630,20191022,2,1,"87,260","43,630.00"
43626,20191021,2,2,"87,252","43,626.00"
43626,20191023,2,2,"87,252","43,626.00"
43625,20191024,2,2,"87,250","43,625.00"
43617,20191021,2,2,"87,234","43,617.00"
43617,20191026,2,2,"87,234","43,617.00"
43609,20191025,2,2,"87,218","43,609.00"
43595,20191022,2,2,"87,190","43,595.00"
43575,20191025,2,2,"87,150","43,575.00"
43572,20191025,2,2,"87,144","43,572.00"
43570,20191020,2,2,"87,140","43,570.00"
43568,20191023,2,2,"87,136","43,568.00"
43564,20191025,2,1,"87,128","43,564.00"
43563,20191021,2,1,"87,126","43,563.00"
43563,20191026,2,1,"87,126","43,563.00"
43551,20191021,2,2,"87,102","43,551.00"
43551,20191024,2,1,"87,102","43,551.00"
43548,20191023,2,1,"87,096","43,548.00"
43548,20191024,2,2,"87,096","43,548.00"
43548,20191025,2,1,"87,096","43,548.00"
43548,20191026,2,2,"87,096","43,548.00"
43547,20191025,2,2,"87,094","43,547.00"
87092,20191021,1,1,"87,092","87,092.00"
43539,20191024,2,2,"87,078","43,539.00"
43536,20191020,2,2,"87,072","43,536.00"
86851,20191024,1,1,"86,851","86,851.00"
86803,20191021,1,1,"86,803","86,803.00"
43397,20191020,2,1,"86,794","43,397.00"
86745,20191025,1,1,"86,745","86,745.00"
28882,20191024,3,2,"86,646","28,882.00"
86616,20191025,1,1,"86,616","86,616.00"
86568,20191021,1,1,"86,568","86,568.00"
86568,20191026,1,1,"86,568","86,568.00"
28838,20191022,3,2,"86,514","28,838.00"
28838,20191024,3,3,"86,514","28,838.00"
86506,20191023,1,1,"86,506","86,506.00"
86401,20191022,1,1,"86,401","86,401.00"
28789,20191020,3,3,"86,367","28,789.00"
28788,20191020,3,3,"86,364","28,788.00"
28788,20191024,3,3,"86,364","28,788.00"
28780,20191022,3,3,"86,340","28,780.00"
86273,20191022,1,1,"86,273","86,273.00"
86273,20191024,1,1,"86,273","86,273.00"
85929,20191022,1,1,"85,929","85,929.00"
42762,20191022,2,1,"85,524","42,762.00"
42762,20191025,2,1,"85,524","42,762.00"
42762,20191026,2,2,"85,524","42,762.00"
85503,20191026,1,1,"85,503","85,503.00"
85050,20191022,1,1,"85,050","85,050.00"
17005,20191020,5,2,"85,025","17,005.00"
42511,20191023,2,2,"85,022","42,511.00"
42497,20191021,2,1,"84,994","42,497.00"
42497,20191022,2,2,"84,994","42,497.00"
42497,20191024,2,2,"84,994","42,497.00"
42497,20191025,2,2,"84,994","42,497.00"
84792,20191021,1,1,"84,792","84,792.00"
84792,20191023,1,1,"84,792","84,792.00"
84492,20191025,1,1,"84,492","84,492.00"
84395,20191021,1,1,"84,395","84,395.00"
84268,20191021,1,1,"84,268","84,268.00"
84268,20191024,1,1,"84,268","84,268.00"
84268,20191025,1,1,"84,268","84,268.00"
84058,20191021,1,1,"84,058","84,058.00"
42002,20191021,2,2,"84,004","42,002.00"
83977,20191025,1,1,"83,977","83,977.00"
83946,20191020,1,1,"83,946","83,946.00"
83924,20191023,1,1,"83,924","83,924.00"
41926,20191025,2,2,"83,852","41,926.00"
83820,20191021,1,1,"83,820","83,820.00"
83767,20191021,1,1,"83,767","83,767.00"
83594,20191020,1,1,"83,594","83,594.00"
83549,20191022,1,1,"83,549","83,549.00"
41762,20191021,2,1,"83,524","41,762.00"
83481,20191025,1,1,"83,481","83,481.00"
41732,20191021,2,1,"83,464","41,732.00"
83394,20191025,1,1,"83,394","83,394.00"
83216,20191025,1,1,"83,216","83,216.00"
83207,20191022,1,1,"83,207","83,207.00"
41500,20191021,2,1,"83,000","41,500.00"
82838,20191024,1,1,"82,838","82,838.00"
41385,20191025,2,2,"82,770","41,385.00"
82290,20191022,1,1,"82,290","82,290.00"
82290,20191023,1,1,"82,290","82,290.00"
82290,20191024,1,1,"82,290","82,290.00"
81579,20191021,1,1,"81,579","81,579.00"
81237,20191024,1,1,"81,237","81,237.00"
40552,20191025,2,2,"81,104","40,552.00"
79972,20191025,1,1,"79,972","79,972.00"
