Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
116953,20191018,2,1,"233,906","116,953.00"
117,20191018,2,2,234,117
1170,20191016,2,2,"2,340","1,170.00"
1173,20191020,2,2,"2,346","1,173.00"
118076,20191017,2,1,"236,152","118,076.00"
11846,20191020,2,1,"23,692","11,846.00"
118505,20191019,2,2,"237,010","118,505.00"
118592,20191017,2,1,"237,184","118,592.00"
1192,20191017,2,2,"2,384","1,192.00"
11955,20191017,2,2,"23,910","11,955.00"
120,20191019,2,2,240,120
1203,20191020,2,1,"2,406","1,203.00"
120455,20191017,2,2,"240,910","120,455.00"
120455,20191018,2,2,"240,910","120,455.00"
120455,20191020,2,2,"240,910","120,455.00"
12053,20191014,2,1,"24,106","12,053.00"
120728,20191015,2,1,"241,456","120,728.00"
120728,20191017,2,1,"241,456","120,728.00"
120918,20191015,2,1,"241,836","120,918.00"
1211,20191020,2,2,"2,422","1,211.00"
121162,20191014,2,2,"242,324","121,162.00"
121919,20191020,2,1,"243,838","121,919.00"
1224,20191017,2,1,"2,448","1,224.00"
124700,20191019,2,1,"249,400","124,700.00"
1256,20191018,2,1,"2,512","1,256.00"
1256,20191019,2,2,"2,512","1,256.00"
126,20191018,2,2,252,126
126,20191020,2,2,252,126
126335,20191016,2,1,"252,670","126,335.00"
126586,20191017,2,1,"253,172","126,586.00"
12660,20191014,2,2,"25,320","12,660.00"
1268,20191020,2,1,"2,536","1,268.00"
128,20191017,2,2,256,128
129,20191018,2,2,258,129
12924,20191016,2,1,"25,848","12,924.00"
12924,20191020,2,2,"25,848","12,924.00"
1326,20191019,2,2,"2,652","1,326.00"
1338,20191019,2,2,"2,676","1,338.00"
135,20191019,2,1,270,135
137989,20191014,2,1,"275,978","137,989.00"
1380,20191017,2,1,"2,760","1,380.00"
14,20191017,2,1,28,14
140065,20191017,2,1,"280,130","140,065.00"
14295,20191015,2,1,"28,590","14,295.00"
143,20191019,2,2,286,143
143,20191020,2,2,286,143
1432,20191018,2,1,"2,864","1,432.00"
1438,20191019,2,2,"2,876","1,438.00"
144,20191014,2,1,288,144
145,20191018,2,2,290,145
1454,20191018,2,2,"2,908","1,454.00"
14682,20191017,2,1,"29,364","14,682.00"
14685,20191020,2,1,"29,370","14,685.00"
147,20191014,2,2,294,147
147,20191020,2,2,294,147
14701,20191017,2,2,"29,402","14,701.00"
14703,20191015,2,1,"29,406","14,703.00"
14705,20191015,2,2,"29,410","14,705.00"
14705,20191018,2,2,"29,410","14,705.00"
14717,20191020,2,2,"29,434","14,717.00"
14721,20191019,2,2,"29,442","14,721.00"
14771,20191017,2,1,"29,542","14,771.00"
14774,20191016,2,1,"29,548","14,774.00"
14780,20191017,2,1,"29,560","14,780.00"
148,20191014,2,2,296,148
14800,20191020,2,2,"29,600","14,800.00"
14867,20191017,2,2,"29,734","14,867.00"
14867,20191020,2,2,"29,734","14,867.00"
14892,20191019,2,2,"29,784","14,892.00"
14892,20191020,2,2,"29,784","14,892.00"
14929,20191016,2,1,"29,858","14,929.00"
15050,20191019,2,2,"30,100","15,050.00"
15050,20191020,2,2,"30,100","15,050.00"
15067,20191020,2,1,"30,134","15,067.00"
1508,20191014,2,2,"3,016","1,508.00"
1508,20191017,2,1,"3,016","1,508.00"
1508,20191018,2,2,"3,016","1,508.00"
15116,20191020,2,2,"30,232","15,116.00"
15156,20191019,2,1,"30,312","15,156.00"
15166,20191020,2,2,"30,332","15,166.00"
15167,20191019,2,2,"30,334","15,167.00"
151781,20191015,2,1,"303,562","151,781.00"
15179,20191018,2,2,"30,358","15,179.00"
151811,20191017,2,1,"303,622","151,811.00"
15188,20191019,2,1,"30,376","15,188.00"
15279,20191017,2,2,"30,558","15,279.00"
154,20191017,2,2,308,154
15416,20191014,2,2,"30,832","15,416.00"
154527,20191020,2,1,"309,054","154,527.00"
15521,20191019,2,1,"31,042","15,521.00"
1554,20191020,2,2,"3,108","1,554.00"
15572,20191019,2,1,"31,144","15,572.00"
15572,20191020,2,2,"31,144","15,572.00"
15641,20191017,2,2,"31,282","15,641.00"
15747,20191018,2,1,"31,494","15,747.00"
1577,20191020,2,2,"3,154","1,577.00"
15812,20191015,2,1,"31,624","15,812.00"
16,20191014,2,2,32,16
160,20191018,2,1,320,160
16011,20191018,2,2,"32,022","16,011.00"
1608,20191014,2,1,"3,216","1,608.00"
16175,20191016,2,1,"32,350","16,175.00"
162,20191015,2,2,324,162
162,20191016,2,2,324,162
162,20191019,2,2,324,162
16262,20191020,2,1,"32,524","16,262.00"
163,20191020,2,2,326,163
16361,20191019,2,1,"32,722","16,361.00"
1644,20191017,2,2,"3,288","1,644.00"
165368,20191015,2,1,"330,736","165,368.00"
165497,20191018,2,2,"330,994","165,497.00"
165505,20191015,2,1,"331,010","165,505.00"
167,20191020,2,2,334,167
168,20191016,2,1,336,168
168,20191018,2,2,336,168
1734,20191017,2,2,"3,468","1,734.00"
174,20191020,2,2,348,174
176,20191020,2,1,352,176
17604,20191017,2,2,"35,208","17,604.00"
1762,20191016,2,2,"3,524","1,762.00"
17985,20191020,2,2,"35,970","17,985.00"
18040,20191020,2,1,"36,080","18,040.00"
183,20191020,2,2,366,183
18583,20191014,2,1,"37,166","18,583.00"
1862,20191018,2,2,"3,724","1,862.00"
188,20191018,2,2,376,188
191,20191016,2,1,382,191
191,20191018,2,2,382,191
19256,20191020,2,1,"38,512","19,256.00"
196,20191016,2,2,392,196
1975,20191017,2,2,"3,950","1,975.00"
199,20191019,2,1,398,199
200,20191016,2,2,400,200
2009,20191020,2,1,"4,018","2,009.00"
20372,20191016,2,2,"40,744","20,372.00"
20372,20191019,2,1,"40,744","20,372.00"
20441,20191018,2,2,"40,882","20,441.00"
2047,20191019,2,1,"4,094","2,047.00"
2047,20191020,2,2,"4,094","2,047.00"
207,20191020,2,2,414,207
20936,20191019,2,2,"41,872","20,936.00"
21109,20191020,2,2,"42,218","21,109.00"
216,20191018,2,2,432,216
2161,20191018,2,1,"4,322","2,161.00"
21894,20191019,2,2,"43,788","21,894.00"
21952,20191020,2,2,"43,904","21,952.00"
2220,20191015,2,1,"4,440","2,220.00"
225,20191018,2,2,450,225
2279,20191015,2,1,"4,558","2,279.00"
2279,20191018,2,1,"4,558","2,279.00"
23403,20191020,2,2,"46,806","23,403.00"
237,20191016,2,1,474,237
238,20191020,2,2,476,238
245,20191020,2,2,490,245
2475,20191015,2,1,"4,950","2,475.00"
253,20191016,2,1,506,253
255,20191017,2,1,510,255
2576,20191019,2,2,"5,152","2,576.00"
261,20191018,2,2,522,261
261,20191019,2,2,522,261
268,20191019,2,2,536,268
26855,20191018,2,2,"53,710","26,855.00"
269,20191016,2,1,538,269
28756,20191017,2,2,"57,512","28,756.00"
28780,20191018,2,2,"57,560","28,780.00"
28788,20191015,2,2,"57,576","28,788.00"
28811,20191015,2,1,"57,622","28,811.00"
28825,20191019,2,1,"57,650","28,825.00"
28825,20191020,2,1,"57,650","28,825.00"
28830,20191015,2,1,"57,660","28,830.00"
28838,20191015,2,2,"57,676","28,838.00"
28853,20191015,2,2,"57,706","28,853.00"
28861,20191017,2,2,"57,722","28,861.00"
28862,20191015,2,2,"57,724","28,862.00"
28882,20191015,2,2,"57,764","28,882.00"
28882,20191016,2,1,"57,764","28,882.00"
28883,20191019,2,2,"57,766","28,883.00"
28884,20191017,2,2,"57,768","28,884.00"
28889,20191017,2,2,"57,778","28,889.00"
28889,20191019,2,2,"57,778","28,889.00"
289,20191017,2,2,578,289
28920,20191020,2,2,"57,840","28,920.00"
28929,20191015,2,1,"57,858","28,929.00"
28941,20191014,2,1,"57,882","28,941.00"
28952,20191016,2,2,"57,904","28,952.00"
28960,20191019,2,1,"57,920","28,960.00"
29,20191018,2,2,58,29
29033,20191017,2,2,"58,066","29,033.00"
29044,20191019,2,1,"58,088","29,044.00"
291,20191020,2,2,582,291
29105,20191015,2,2,"58,210","29,105.00"
29301,20191015,2,1,"58,602","29,301.00"
29522,20191016,2,1,"59,044","29,522.00"
