Event,Region,Rank,Payout,Players
CC Thursday #4,Oceania,10,200,1
CC Wednesday #1,Asia,1,400,1
CC Wednesday #1,Asia,4,200,1
CC Wednesday #1,Brazil,1,750,1
CC Wednesday #1,Brazil,2,450,1
CC Wednesday #1,Brazil,3,350,1
CC Wednesday #1,Brazil,4,250,1
CC Wednesday #1,Brazil,10,200,1
CC Wednesday #1,Europe,1,2500,1
CC Wednesday #1,Europe,2,2000,1
CC Wednesday #1,Europe,3,1250,1
CC Wednesday #1,Europe,4,750,1
CC Wednesday #1,Europe,5,500,1
CC Wednesday #1,Europe,20,200,1
CC Wednesday #1,Middle East,1,400,1
CC Wednesday #1,Middle East,4,200,1
CC Wednesday #1,NA East,1,1500,1
CC Wednesday #1,NA East,2,1000,1
CC Wednesday #1,NA East,3,750,1
CC Wednesday #1,NA East,4,500,1
CC Wednesday #1,NA East,5,250,1
CC Wednesday #1,NA East,20,200,1
CC Wednesday #1,NA West,1,750,1
CC Wednesday #1,NA West,2,450,1
CC Wednesday #1,NA West,3,350,1
CC Wednesday #1,NA West,4,250,1
CC Wednesday #1,NA West,10,200,1
CC Wednesday #1,Oceania,1,400,1
CC Wednesday #1,Oceania,4,200,1
CC Wednesday #2,Asia,1,400,1
CC Wednesday #2,Asia,4,200,1
CC Wednesday #2,Brazil,1,750,1
CC Wednesday #2,Brazil,2,450,1
CC Wednesday #2,Brazil,3,350,1
CC Wednesday #2,Brazil,4,250,1
CC Wednesday #2,Brazil,10,200,1
CC Wednesday #2,Europe,1,2500,1
CC Wednesday #2,Europe,2,2000,1
CC Wednesday #2,Europe,3,1250,1
CC Wednesday #2,Europe,4,750,1
CC Wednesday #2,Europe,5,500,1
CC Wednesday #2,Europe,20,200,1
CC Wednesday #2,Middle East,1,400,1
CC Wednesday #2,Middle East,4,200,1
CC Wednesday #2,NA East,1,1500,1
CC Wednesday #2,NA East,2,1000,1
CC Wednesday #2,NA East,3,750,1
CC Wednesday #2,NA East,4,500,1
CC Wednesday #2,NA East,5,250,1
CC Wednesday #2,NA East,20,200,1
CC Wednesday #2,NA West,1,750,1
CC Wednesday #2,NA West,2,450,1
CC Wednesday #2,NA West,3,350,1
CC Wednesday #2,NA West,4,250,1
CC Wednesday #2,NA West,10,200,1
CC Wednesday #2,Oceania,1,400,1
CC Wednesday #2,Oceania,4,200,1
CC Wednesday #3,Asia,1,400,1
CC Wednesday #3,Asia,4,200,1
CC Wednesday #3,Brazil,1,750,1
CC Wednesday #3,Brazil,2,450,1
CC Wednesday #3,Brazil,3,350,1
CC Wednesday #3,Brazil,4,250,1
CC Wednesday #3,Brazil,10,200,1
CC Wednesday #3,Europe,1,2500,1
CC Wednesday #3,Europe,2,2000,1
CC Wednesday #3,Europe,3,1250,1
CC Wednesday #3,Europe,4,750,1
CC Wednesday #3,Europe,5,500,1
CC Wednesday #3,Europe,20,200,1
CC Wednesday #3,Middle East,1,400,1
CC Wednesday #3,Middle East,4,200,1
CC Wednesday #3,NA East,1,1500,1
CC Wednesday #3,NA East,2,1000,1
CC Wednesday #3,NA East,3,750,1
CC Wednesday #3,NA East,4,500,1
CC Wednesday #3,NA East,5,250,1
CC Wednesday #3,NA East,20,200,1
CC Wednesday #3,NA West,1,750,1
CC Wednesday #3,NA West,2,450,1
CC Wednesday #3,NA West,3,350,1
CC Wednesday #3,NA West,4,250,1
CC Wednesday #3,NA West,10,200,1
CC Wednesday #3,Oceania,1,400,1
CC Wednesday #3,Oceania,4,200,1
CC Wednesday #4,Asia,1,400,1
CC Wednesday #4,Asia,4,200,1
CC Wednesday #4,Brazil,1,750,1
CC Wednesday #4,Brazil,2,450,1
CC Wednesday #4,Brazil,3,350,1
CC Wednesday #4,Brazil,4,250,1
CC Wednesday #4,Brazil,10,200,1
CC Wednesday #4,Europe,1,2500,1
CC Wednesday #4,Europe,2,2000,1
CC Wednesday #4,Europe,3,1250,1
CC Wednesday #4,Europe,4,750,1
CC Wednesday #4,Europe,5,500,1
CC Wednesday #4,Europe,20,200,1
CC Wednesday #4,Middle East,1,400,1
CC Wednesday #4,Middle East,4,200,1
CC Wednesday #4,NA East,1,1500,1
CC Wednesday #4,NA East,2,1000,1
CC Wednesday #4,NA East,3,750,1
CC Wednesday #4,NA East,4,500,1
CC Wednesday #4,NA East,5,250,1
CC Wednesday #4,NA East,20,200,1
CC Wednesday #4,NA West,1,750,1
CC Wednesday #4,NA West,2,450,1
CC Wednesday #4,NA West,3,350,1
CC Wednesday #4,NA West,4,250,1
CC Wednesday #4,NA West,10,200,1
CC Wednesday #4,Oceania,1,400,1
CC Wednesday #4,Oceania,4,200,1
CS Final,Asia,1,20000,3
CS Final,Asia,2,9000,3
CS Final,Asia,3,6000,3
CS Final,Asia,4,2200,3
CS Final,Asia,8,800,3
CS Final,Asia,32,400,3
CS Final,Brazil,1,40000,3
CS Final,Brazil,2,18000,3
CS Final,Brazil,3,12000,3
CS Final,Brazil,4,4400,3
CS Final,Brazil,8,1600,3
CS Final,Brazil,32,800,3
CS Final,Europe,1,160000,3
CS Final,Europe,2,72000,3
CS Final,Europe,3,48000,3
CS Final,Europe,4,17600,3
CS Final,Europe,8,6400,3
CS Final,Europe,32,3200,3
CS Final,Middle East,1,20000,3
CS Final,Middle East,2,9000,3
CS Final,Middle East,3,6000,3
CS Final,Middle East,4,2200,3
CS Final,Middle East,8,800,3
CS Final,Middle East,32,400,3
CS Final,NA East,1,100000,3
CS Final,NA East,2,45000,3
CS Final,NA East,3,30000,3
CS Final,NA East,4,11000,3
CS Final,NA East,8,4000,3
CS Final,NA East,32,2000,3
CS Final,NA West,1,40000,3
CS Final,NA West,2,18000,3
CS Final,NA West,3,12000,3
CS Final,NA West,4,4400,3
CS Final,NA West,8,1600,3
CS Final,NA West,32,800,3
CS Final,Oceania,1,20000,3
CS Final,Oceania,2,9000,3
CS Final,Oceania,3,6000,3
CS Final,Oceania,4,2200,3
CS Final,Oceania,8,800,3
CS Final,Oceania,32,400,3
CS Week 1,Asia,1,4000,3
CS Week 1,Asia,2,2800,3
CS Week 1,Asia,4,1000,3
CS Week 1,Asia,14,400,3
CS Week 1,Asia,50,200,3
CS Week 1,Brazil,1,8000,3
CS Week 1,Brazil,2,4000,3
CS Week 1,Brazil,4,1600,3
CS Week 1,Brazil,8,600,3
CS Week 1,Brazil,30,400,3
CS Week 1,Brazil,100,200,3
CS Week 1,Europe,1,32000,3
CS Week 1,Europe,2,19200,3
CS Week 1,Europe,4,7040,3
CS Week 1,Europe,8,2560,3
CS Week 1,Europe,30,640,3
CS Week 1,Europe,150,320,3
CS Week 1,Middle East,1,4000,3
CS Week 1,Middle East,2,2800,3
CS Week 1,Middle East,4,1000,3
CS Week 1,Middle East,14,400,3
CS Week 1,Middle East,50,200,3
CS Week 1,NA East,1,20000,3
CS Week 1,NA East,2,12000,3
CS Week 1,NA East,4,4400,3
CS Week 1,NA East,8,1200,3
CS Week 1,NA East,30,400,3
CS Week 1,NA East,150,200,3
CS Week 1,NA West,1,8000,3
CS Week 1,NA West,2,4000,3
CS Week 1,NA West,4,1600,3
CS Week 1,NA West,8,600,3
CS Week 1,NA West,30,400,3
CS Week 1,NA West,100,200,3
CS Week 1,Oceania,1,4000,3
CS Week 1,Oceania,2,2800,3
CS Week 1,Oceania,4,1000,3
CS Week 1,Oceania,14,400,3
CS Week 1,Oceania,50,200,3
CS Week 2,Asia,1,4000,3
CS Week 2,Asia,2,2800,3
CS Week 2,Asia,4,1000,3
CS Week 2,Asia,14,400,3
CS Week 2,Asia,50,200,3
CS Week 2,Brazil,1,8000,3
CS Week 2,Brazil,2,4000,3
CS Week 2,Brazil,4,1600,3
CS Week 2,Brazil,8,600,3
CS Week 2,Brazil,30,400,3
CS Week 2,Brazil,100,200,3
CS Week 2,Europe,1,32000,3
CS Week 2,Europe,2,19200,3
CS Week 2,Europe,4,7040,3
CS Week 2,Europe,8,2560,3
CS Week 2,Europe,30,640,3
CS Week 2,Europe,150,320,3
CS Week 2,Middle East,1,4000,3
CS Week 2,Middle East,2,2800,3
CS Week 2,Middle East,4,1000,3
CS Week 2,Middle East,14,400,3
CS Week 2,Middle East,50,200,3
CS Week 2,NA East,1,20000,3
CS Week 2,NA East,2,12000,3
CS Week 2,NA East,4,4400,3
CS Week 2,NA East,8,1200,3
CS Week 2,NA East,30,400,3
CS Week 2,NA East,150,200,3
CS Week 2,NA West,1,8000,3
CS Week 2,NA West,2,4000,3
