"Region","Player","Payout","RawPowerPoints"
"Europe","Jаnnis","2310","3649.49"
"Europe","Osmose Kiman","2310","3592.90"
"Europe","playboi mps.reno","2300","2442.48"
"Europe","Milianiz Elite","2295","2986.20"
"Europe","TTV Tr1xxx","2290","3475.90"
"Europe","Joey Jenner","2290","3146.62"
"Europe","Atlantis Ice","2290","3281.80"
"Europe","bitflox","2285","4866.00"
"Europe","KingSindre","2285","2754.72"
"Europe","forZe h1kkY.","2285","2897.59"
"Europe","VP HURMA","2285","3029.85"
"Europe","LowOne_","2275","2817.08"
"Europe","Jalebob Twitch","2275","2647.09"
"Europe","Deroㅤ","2275","2704.47"
"Europe","Xsterioz","2275","2539.45"
"Europe","COOLER Tokarin","2270","2538.38"
"Europe","CaptainWind","2270","2446.95"
"Europe","pepe.ㅤ","2270","2670.30"
"Europe","111813 Setty","2265","2804.89"
"Europe","dzejbol btw","2260","2115.64"
"Europe","Eveer.","2260","3069.02"
"Europe","LOST Aura","2255","3503.71"
"Europe","LOST Firex","2250","2501.19"
"Europe","script is insane","2250","2281.45"
"Europe","laidbackxD","2250","2564.76"
"Europe","Dynеr","2250","2316.06"
"Europe","13UP Hayko","2250","2447.91"
"Europe","КFC WingS","2240","3115.22"
"Europe","Vеx.","2225","2759.84"
"Europe","sweet_-","2220","3372.31"
"Europe","KarmaaNE","2220","3010.07"
"Europe","Palmatoro","2215","3000.03"
"Europe","Barqos","2205","2837.54"
"Europe","BrookzzFN","2200","1819.34"
"Europe","Cerecof","2200","2344.20"
"Europe","Dash Froggy","2200","1811.92"
"Europe","FORTNITEIAWFUL","2200","2282.46"
"Europe","QLASH JoYe","2200","2404.39"
"Europe","OGWesleyBb","2200","2401.60"
"Europe","M5 l Crowlley","2195","3016.04"
"Europe","M5 Marcel","2190","2891.61"
"Europe","Je suis Stig","2190","3615.21"
"Europe","Boettchr","2190","3149.84"
"Europe","Zyflare","2190","2925.82"
"Europe","13UP DORAA btw","2185","3811.17"
"Europe","Method Noizeeh","2175","2254.37"
"Europe","Twitch Vayn0","2170","3468.52"
"Europe","Bεrkii","2170","1966.52"
"Europe","eHortsVertrag ツ","2170","2049.96"
"Europe","Jobvos","2170","2772.17"
"Europe","tleq is 2good","2165","3278.76"
"Europe","Not Frozen.","2165","3798.84"
"Europe","Firex wkey","2155","3741.76"
"Europe","Dvnty Cookie","2155","2586.74"
"Europe","fake flennii","2150","2389.64"
"Europe","Twitch.ChronoFN","2150","1844.28"
"Europe","WеyS","2145","3120.53"
"Europe","Papіto","2145","2847.11"
"Europe","IntensiVe eXen.","2145","2019.28"
"Europe","GoldenCobra YT","2140","3035.06"
"Europe","Timaay.","2140","2895.15"
"Europe","GO Lenzh","2135","4046.40"
"Europe","CODE NovaaFTN","2125","2416.44"
"Europe","WGS_Horde","2125","2598.23"
"Europe","YoungCza","2125","1886.09"
"Europe","LOST Robnic.","2120","3510.24"
"Europe","BxdrMan","2120","2771.40"
"Europe","BH.Fato","2120","2465.15"
"Europe","Urii ツ","2115","3430.38"
"Europe","Jeadzer","2110","3257.66"
"Europe","kaidο","2100","2701.26"
"Europe","phin xo","2100","2277.70"
"Europe","Twitch Fn_Samd","2095","2774.03"
"Europe","SrStrikerr","2095","2486.90"
"Europe","unlck Drevix","2090","2477.02"
"Europe","Ouranoooos","2090","2797.33"
"Europe","HRZ Doraditox","2090","3739.07"
"Europe","Sanderup","2085","4536.14"
"Europe","mikkelreb0rn","2075","2467.64"
"Europe","Maybe Ivan","2075","2398.65"
"Europe","csgo driller","2075","2788.31"
"Europe","Detoox.","2075","2063.48"
"Europe","DV1 qln","2070","3070.99"
"Europe","criqa is cracked","2070","2641.82"
"Europe","Twitter ShakaFN","2070","3648.71"
"Europe","YT WebBeMe","2070","3328.30"
"Europe","Xypher Teestinq","2065","2768.49"
"Europe","SkewdenFTN.","2065","2233.92"
"Europe","QLASH MateoZ","2065","3539.40"
"Europe","Komi .","2065","3281.17"
"Europe","iG.Fennix","2065","1637.43"
