Name,Region,Date,TotalEvents,UniqueEvents
E11 Agholor,NA East,10/19/2019,1,1
E11 Agholor,NA East,10/25/2019,1,1
E11 Agholor,NA East,10/21/2019,7,5
Tetchra,NA East,10/25/2019,1,1
Tetchra,NA East,10/21/2019,2,2
Tetchra,NA East,10/22/2019,2,1
Tetchra,NA East,10/17/2019,2,2
Tetchra,NA East,10/15/2019,3,2
Tetchra,NA East,10/18/2019,4,4
CODE POTFAST,NA East,10/18/2019,2,2
CODE POTFAST,NA East,10/15/2019,1,1
CODE POTFAST,NA East,10/16/2019,1,1
CODE POTFAST,NA East,10/19/2019,1,1
TL 72,NA East,10/15/2019,1,1
TL 72,NA East,10/17/2019,1,1
TL 72,NA East,10/19/2019,1,1
TL 72,NA East,10/21/2019,1,1
TL 72,NA East,10/26/2019,1,1
Eclipsae,NA East,10/17/2019,1,1
Slackes,NA East,10/17/2019,1,1
Slackes,NA East,10/18/2019,1,1
Slackes,NA East,10/22/2019,1,1
SEN Animal,NA East,10/21/2019,1,1
SEN Animal,NA East,10/23/2019,3,1
SEN Animal,NA East,10/14/2019,1,1
SEN Animal,NA East,10/20/2019,1,1
SEN Animal,NA East,10/19/2019,2,1
SEN Animal,NA East,10/18/2019,3,2
Flossen Fields,NA East,10/16/2019,1,1
Flossen Fields,NA East,10/17/2019,1,1
Flossen Fields,NA East,10/18/2019,1,1
Flossen Fields,NA East,10/19/2019,1,1
Flossen Fields,NA East,10/22/2019,1,1
Flossen Fields,NA East,10/25/2019,2,2
Flossen Fields,NA East,10/26/2019,2,1
TeеJay,NA East,10/17/2019,1,1
d0nkeydoomer77,NA East,10/20/2019,1,1
d0nkeydoomer77,NA East,10/21/2019,1,1
OT Spαdes,NA East,10/15/2019,1,1
OT Spαdes,NA East,10/16/2019,1,1
OT Spαdes,NA East,10/17/2019,1,1
OT Spαdes,NA East,10/18/2019,1,1
OT Spαdes,NA East,10/20/2019,1,1
Strugs.,NA East,10/16/2019,1,1
Strugs.,NA East,10/17/2019,1,1
Strugs.,NA East,10/20/2019,3,1
Strugs.,NA East,10/25/2019,1,1
grandmateets,NA East,10/21/2019,1,1
grandmateets,NA East,10/26/2019,1,1
grandmateets,NA East,10/24/2019,2,1
grandmateets,NA East,10/25/2019,2,2
grandmateets,NA East,10/19/2019,2,2
grandmateets,NA East,10/20/2019,2,2
grandmateets,NA East,10/14/2019,1,1
grandmateets,NA East,10/18/2019,1,1
notpandda.,NA East,10/15/2019,1,1
notpandda.,NA East,10/14/2019,2,1
notpandda.,NA East,10/22/2019,1,1
notpandda.,NA East,10/25/2019,1,1
2EzY,NA East,10/25/2019,1,1
2EzY,NA East,10/26/2019,1,1
2EzY,NA East,10/21/2019,2,1
2EzY,NA East,10/18/2019,2,2
2EzY,NA East,10/19/2019,1,1
E11 Grazca,NA East,10/14/2019,2,2
E11 Grazca,NA East,10/20/2019,2,2
E11 Grazca,NA East,10/16/2019,4,3
E11 Grazca,NA East,10/19/2019,5,4
E11 Grazca,NA East,10/21/2019,1,1
E11 Grazca,NA East,10/23/2019,1,1
NOSH DUR,NA East,10/21/2019,1,1
NOSH DUR,NA East,10/24/2019,2,1
NOSH DUR,NA East,10/14/2019,2,2
FaZe Tilt,NA East,10/23/2019,1,1
FaZe Tilt,NA East,10/24/2019,1,1
TSM_Comadon,NA East,10/24/2019,1,1
GA_phung,NA East,10/22/2019,1,1
GA_phung,NA East,10/26/2019,1,1
GA_phung,NA East,10/24/2019,3,3
GA_phung,NA East,10/21/2019,4,4
GA_phung,NA East,10/19/2019,1,1
RBK gilly,NA East,10/15/2019,1,1
RBK gilly,NA East,10/22/2019,1,1
RBK gilly,NA East,10/23/2019,1,1
RBK gilly,NA East,10/25/2019,1,1
RBK gilly,NA East,10/26/2019,1,1
RBK gilly,NA East,10/21/2019,2,2
Ghost Saf,NA East,10/24/2019,2,2
Ghost Saf,NA East,10/21/2019,1,1
Ghost Saf,NA East,10/22/2019,1,1
Ghost Saf,NA East,10/23/2019,1,1
Ghost Saf,NA East,10/25/2019,3,3
Ghost Saf,NA East,10/19/2019,1,1
Ghost Saf,NA East,10/17/2019,2,2
Ghost Saf,NA East,10/15/2019,3,1
Ghost Saf,NA East,10/20/2019,3,3
Anordy,NA East,10/20/2019,3,3
Anordy,NA East,10/19/2019,4,3
Anordy,NA East,10/15/2019,1,1
Anordy,NA East,10/21/2019,4,4
Anordy,NA East,10/22/2019,1,1
Tempo Brush,NA East,10/21/2019,1,1
Tempo Brush,NA East,10/19/2019,1,1
CODE KODI,NA East,10/14/2019,1,1
CODE KODI,NA East,10/20/2019,1,1
CODE KODI,NA East,10/16/2019,4,4
CODE KODI,NA East,10/17/2019,5,3
CODE KODI,NA East,10/18/2019,2,1
CODE KODI,NA East,10/23/2019,1,1
CODE KODI,NA East,10/25/2019,1,1
CODE KODI,NA East,10/24/2019,2,1
HydraFN,NA East,10/14/2019,1,1
HydraFN,NA East,10/16/2019,1,1
SoaR Infamous.,NA East,10/15/2019,2,2
SoaR Infamous.,NA East,10/16/2019,2,2
SoaR Infamous.,NA East,10/19/2019,2,2
SoaR Infamous.,NA East,10/20/2019,4,4
SoaR Infamous.,NA East,10/21/2019,2,2
SoaR Infamous.,NA East,10/24/2019,2,1
SoaR Infamous.,NA East,10/26/2019,1,1
SoaR Infamous.,NA East,10/23/2019,3,3
deez of outcast,NA East,10/23/2019,1,1
deez of outcast,NA East,10/24/2019,1,1
deez of outcast,NA East,10/19/2019,5,4
deez of outcast,NA East,10/20/2019,2,2
deez of outcast,NA East,10/14/2019,1,1
Distrept,NA East,10/19/2019,1,1
Distrept,NA East,10/20/2019,1,1
Distrept,NA East,10/22/2019,1,1
Distrept,NA East,10/23/2019,1,1
Distrept,NA East,10/26/2019,1,1
NorCal Khanada,NA East,10/21/2019,1,1
NorCal Khanada,NA East,10/22/2019,1,1
NorCal Khanada,NA East,10/23/2019,1,1
NorCal Khanada,NA East,10/26/2019,1,1
NorCal Khanada,NA East,10/24/2019,3,1
NorCal Khanada,NA East,10/15/2019,1,1
NorCal Khanada,NA East,10/18/2019,1,1
NorCal Khanada,NA East,10/20/2019,1,1
NorCal Khanada,NA East,10/19/2019,6,4
NorCal Khanada,NA East,10/17/2019,3,3
Lazarº,NA East,10/19/2019,3,2
Lazarº,NA East,10/20/2019,2,2
Lazarº,NA East,10/26/2019,1,1
Lazarº,NA East,10/25/2019,2,2
roqz,NA East,10/21/2019,2,2
roqz,NA East,10/16/2019,2,1
roqz,NA East,10/18/2019,2,2
roqz,NA East,10/20/2019,9,9
roqz,NA East,10/19/2019,1,1
Posick,NA East,10/14/2019,1,1
Posick,NA East,10/15/2019,11,4
Posick,NA East,10/17/2019,10,4
Posick,NA East,10/20/2019,4,3
Posick,NA East,10/19/2019,3,3
Posick,NA East,10/21/2019,1,1
Posick,NA East,10/24/2019,1,1
Posick,NA East,10/25/2019,1,1
GyGy,NA East,10/22/2019,1,1
dimed.,NA East,10/20/2019,1,1
MSF Sceptic,NA East,10/15/2019,1,1
MSF Sceptic,NA East,10/20/2019,2,2
MSF Sceptic,NA East,10/21/2019,1,1
MSF Sceptic,NA East,10/24/2019,1,1
MSF Sceptic,NA East,10/26/2019,1,1
Pyro Voil,NA East,10/24/2019,1,1
Pyro Voil,NA East,10/25/2019,1,1
Pyro Voil,NA East,10/20/2019,2,1
Pyro Voil,NA East,10/18/2019,3,2
Pyro Voil,NA East,10/17/2019,4,4
Parallel Tekk,NA East,10/14/2019,3,2
Parallel Tekk,NA East,10/22/2019,1,1
Parallel Tekk,NA East,10/24/2019,1,1
EmadGG.,NA East,10/24/2019,1,1
EmadGG.,NA East,10/15/2019,1,1
EmadGG.,NA East,10/16/2019,1,1
EmadGG.,NA East,10/19/2019,1,1
Tempo CizLucky,NA East,10/21/2019,1,1
Tempo CizLucky,NA East,10/23/2019,1,1
Tempo CizLucky,NA East,10/22/2019,2,2
100T Ceice,NA West,10/22/2019,2,2
100T Ceice,NA West,10/23/2019,1,1
100T Ceice,NA West,10/25/2019,3,3
100T Ceice,NA West,10/26/2019,5,4
100T Ceice,NA West,10/21/2019,4,3
100T Ceice,NA West,10/14/2019,1,1
100T Ceice,NA West,10/15/2019,1,1
100T Ceice,NA West,10/20/2019,2,2
Ghost Bizzle,NA East,10/14/2019,1,1
Ghost Bizzle,NA East,10/25/2019,1,1
Ghost Bizzle,NA East,10/23/2019,2,2
