Name,Region,SearchDate,TotalEvents,UniqueEvents
FaZe Funk,NA East,2019-10-29,1,1
FaZe Funk,NA East,2019-11-04,1,1
FaZe Funk,NA East,2019-11-07,1,1
Joelbtw?,NA East,2019-10-14,1,1
Joelbtw?,NA East,2019-10-24,1,1
CardiganSweaters,NA East,2019-10-16,1,1
CardiganSweaters,NA East,2019-10-21,1,1
CardiganSweaters,NA East,2019-10-22,1,1
BH Perplexii,NA East,2019-10-17,2,1
BH Perplexii,NA East,2019-10-15,1,1
BH Perplexii,NA East,2019-11-03,1,1
BH Perplexii,NA East,2019-11-04,1,1
BH Perplexii,NA East,2019-10-21,3,2
BH Perplexii,NA East,2019-10-22,1,1
BH Perplexii,NA East,2019-10-23,1,1
Noble ??,NA East,2019-10-30,1,1
Nate Hill,NA East,2019-10-19,1,1
Nate Hill,NA East,2019-10-20,1,1
Nate Hill,NA East,2019-10-21,6,3
Nate Hill,NA East,2019-10-25,3,2
Nate Hill,NA East,2019-10-23,1,1
Nate Hill,NA East,2019-10-27,1,1
FaZe Bini,NA East,2019-11-01,1,1
LZR Legedien,NA East,2019-10-19,1,1
LZR Legedien,NA East,2019-10-24,1,1
LZR Legedien,NA East,2019-10-28,1,1
LZR Legedien,NA East,2019-11-03,1,1
KingTrigg,NA East,2019-10-15,1,1
KingTrigg,NA East,2019-10-20,1,1
KingTrigg,NA East,2019-10-21,2,2
KingTrigg,NA East,2019-10-23,2,2
KingTrigg,NA East,2019-10-22,1,1
KingTrigg,NA East,2019-10-25,1,1
KingTrigg,NA East,2019-11-01,1,1
KingTrigg,NA East,2019-11-04,2,1
KingTrigg,NA East,2019-11-05,1,1
100T Klass,NA East,2019-10-18,2,2
100T Klass,NA East,2019-10-15,1,1
100T Klass,NA East,2019-10-17,1,1
100T Klass,NA East,2019-10-20,1,1
100T Klass,NA East,2019-10-31,1,1
100T Klass,NA East,2019-11-07,1,1
100T Klass,NA East,2019-10-24,1,1
100T Klass,NA East,2019-10-27,1,1
100T Klass,NA East,2019-10-28,1,1
100T Klass,NA East,2019-10-30,1,1
J.Storm_Painful,NA East,2019-10-16,3,1
J.Storm_Painful,NA East,2019-10-17,1,1
J.Storm_Painful,NA East,2019-10-21,2,2
J.Storm_Painful,NA East,2019-10-24,1,1
J.Storm_Painful,NA East,2019-11-07,1,1
Ghost Dmo,NA East,2019-10-25,1,1
Ghost Dmo,NA East,2019-10-29,4,3
Ghost Dmo,NA East,2019-11-01,2,2
Ghost Dmo,NA East,2019-10-28,1,1
Liquid Fiber ?,NA East,2019-10-19,2,2
Liquid Fiber ?,NA East,2019-10-22,1,1
Liquid Fiber ?,NA East,2019-10-23,1,1
Liquid Fiber ?,NA East,2019-10-30,1,1
Liquid Fiber ?,NA East,2019-11-03,1,1
Liquid Fiber ?,NA East,2019-11-07,1,1
illest nicolai,NA East,2019-10-18,1,1
illest nicolai,NA East,2019-10-20,1,1
illest nicolai,NA East,2019-10-28,2,1
illest nicolai,NA East,2019-10-27,1,1
illest nicolai,NA East,2019-11-07,1,1
SEN Aspect.,NA East,2019-10-16,1,1
SEN Aspect.,NA East,2019-10-23,1,1
SEN Aspect.,NA East,2019-10-25,1,1
SEN Aspect.,NA East,2019-11-05,2,2
Nittle,NA East,2019-11-03,1,1
Nittle,NA East,2019-11-05,1,1
Nittle,NA East,2019-11-01,1,1
Nittle,NA East,2019-10-25,3,1
Nittle,NA East,2019-10-24,1,1
SEN Carose,NA East,2019-10-18,2,2
SEN Carose,NA East,2019-10-20,2,2
SEN Carose,NA East,2019-10-17,1,1
SEN Carose,NA East,2019-11-02,1,1
SEN Carose,NA East,2019-10-22,3,3
SEN Carose,NA East,2019-10-25,1,1
E11 Agholor,NA East,2019-10-19,1,1
E11 Agholor,NA East,2019-10-21,7,5
E11 Agholor,NA East,2019-10-25,1,1
E11 Agholor,NA East,2019-10-27,1,1
E11 Agholor,NA East,2019-10-29,1,1
E11 Agholor,NA East,2019-10-31,1,1
E11 Agholor,NA East,2019-11-05,1,1
Rogue Tetchra,NA East,2019-10-18,4,4
Rogue Tetchra,NA East,2019-10-15,3,2
Rogue Tetchra,NA East,2019-10-17,2,2
Rogue Tetchra,NA East,2019-10-21,2,2
Rogue Tetchra,NA East,2019-10-29,2,2
Rogue Tetchra,NA East,2019-10-30,1,1
Rogue Tetchra,NA East,2019-11-03,4,2
Rogue Tetchra,NA East,2019-11-04,2,1
Rogue Tetchra,NA East,2019-10-22,2,1
Rogue Tetchra,NA East,2019-10-25,1,1
Rogue Tetchra,NA East,2019-11-01,7,5
Rogue Tetchra,NA East,2019-10-27,2,1
CODE POTFAST,NA East,2019-10-18,2,2
CODE POTFAST,NA East,2019-10-29,1,1
CODE POTFAST,NA East,2019-10-30,1,1
CODE POTFAST,NA East,2019-10-15,1,1
CODE POTFAST,NA East,2019-10-16,1,1
CODE POTFAST,NA East,2019-10-19,1,1
TL 72,NA East,2019-10-15,1,1
TL 72,NA East,2019-10-17,1,1
TL 72,NA East,2019-10-19,1,1
TL 72,NA East,2019-10-21,1,1
TL 72,NA East,2019-10-26,1,1
TL 72,NA East,2019-10-29,1,1
Rogue Eclipsae,NA East,2019-10-17,1,1
Rogue Eclipsae,NA East,2019-10-27,1,1
Rogue Eclipsae,NA East,2019-11-01,1,1
Rogue Eclipsae,NA East,2019-11-03,2,1
Rogue Eclipsae,NA East,2019-11-04,1,1
?riGinS,NA East,2019-10-28,1,1
?riGinS,NA East,2019-11-03,1,1
Slackes,NA East,2019-10-17,1,1
Slackes,NA East,2019-10-18,1,1
Slackes,NA East,2019-10-22,1,1
Slackes,NA East,2019-10-28,1,1
Slackes,NA East,2019-10-29,1,1
Slackes,NA East,2019-10-30,1,1
Slackes,NA East,2019-11-07,2,1
Slackes,NA East,2019-11-02,1,1
Slackes,NA East,2019-11-03,1,1
Slackes,NA East,2019-11-05,1,1
Slackes,NA East,2019-11-06,1,1
SEN Animal,NA East,2019-10-18,3,2
SEN Animal,NA East,2019-10-19,2,1
SEN Animal,NA East,2019-10-14,1,1
SEN Animal,NA East,2019-10-20,1,1
SEN Animal,NA East,2019-10-23,3,1
